tp1,tp2,tp3,tick,user
0.9762700785464951,4.30378732744839,2.055267521432878,-1,0
0.8976636599379368,-1.5269040132219054,2.917882261333123,-1,1
-1.2482557747461502,7.835460015641594,9.273255210020587,-1,2
-2.3311696234844455,5.834500761653292,0.5778983950580887,-1,3
1.3608912218786458,8.51193276585322,-8.579278836042262,-1,4
-8.257414005969185,-9.595632051193485,6.65239691095876,-1,5
5.563135018997009,7.400242964936382,9.572366844655281,-1,6
5.983171284334471,-0.7704127549413631,5.610583525729108,-1,7
-7.634511482621336,2.798420426550477,-7.132934251819072,-1,8
8.893378340991678,0.43696643500143395,-1.7067612001895291,-1,9
-4.70888775790746,5.484673788684333,-0.876993355669029,-1,10
1.3686789773729693,-9.624203991272896,2.352709941517542,-1,11
2.2419144544484286,2.3386799374951384,8.874961570292484,-1,12
3.636405982069668,-2.80984198852428,-1.259360924013171,-1,13
3.9526239185452976,-8.795490567414603,3.335334308913353,-1,14
3.412757392363188,-5.792348778523182,-7.421474046902934,-1,15
-3.691432981516323,-2.725784581147548,1.4039354083575937,-1,16
-1.2279697307535926,9.767476761184525,-7.959103785039439,-1,17
-5.822464878103306,-6.773809642300074,3.0621665093079677,-1,18
-4.934167949204358,-0.6737845428738751,-5.111488159967945,-1,19
-6.820608327089605,-7.792497176713898,3.1265917893054684,-1,20
-7.236340973027724,-6.06835276639893,-2.6254965867807183,-1,21
6.419864596958703,-8.057974484138775,6.758898149976076,-1,22
-8.078031842120739,9.529189300267916,-0.6269759670459685,-1,23
9.535221763806742,2.0969103949009202,4.785271587966033,-1,24
-9.216244154913586,-4.343860748471808,-7.596068775736622,-1,25
-4.077196049557101,-7.625445620915119,-3.6403364121204795,-1,26
-1.7147401097066002,-8.717050073024312,3.849442387400398,-1,27
1.3320290841315021,-4.692210181211092,0.4649610693339934,-1,28
-8.121189784831166,1.5189299111235854,8.585923951524283,-1,29
-3.628620950973527,3.3482075992736338,-7.364042751912157,-1,30
4.32654408237131,-4.211878141055978,-6.336172759857663,-1,31
1.7302586962016626,-9.597849076250128,6.578800584347263,-1,32
-9.906090476149059,3.556330735924602,-4.599840536156703,-1,33
4.703880442451897,9.243770902348764,-5.02493712960084,-1,34
1.5231466883567375,1.8408386254367812,1.4450381158174679,-1,35
-5.538367347187634,9.054980230339702,-1.0574924276474533,-1,36
6.928173449422555,3.9895855063500854,-4.051260982897327,-1,37
6.275956394049544,-2.0698851830603076,7.622063942223232,-1,38
1.6254574527171748,7.634707237097057,3.850631801555318,-1,39
4.50508559639281,0.026487638534044677,9.121672694464479,-1,40
