topic,tick,user
1.8345263511728476,-1,0
-4.1689197444521,-1,1
-4.953120143205698,-1,2
-0.3939184252677901,-1,3
0.8283519791897831,-1,4
-3.959535095399895,-1,5
-4.435072557914377,-1,6
-6.539050841296259,-1,7
-4.897562342705088,-1,8
-0.8348740569184816,-1,9
3.8365521147156443,-1,10
7.080299497547735,-1,11
-8.151769382984375,-1,12
3.7917797741631336,-1,13
-9.16762038423607,-1,14
-7.082505786204396,-1,15
4.740212501662143,-1,16
2.8698868420666344,-1,17
-5.551369943295814,-1,18
-5.162406717124746,-1,19
-0.011726948802202486,-1,20
-0.3210306673827663,-1,21
2.5571833723628785,-1,22
1.121884757697078,-1,23
-7.358545778030265,-1,24
6.903858836692326,-1,25
1.780884027695631,-1,26
8.03805433565239,-1,27
-1.3902859368132354,-1,28
7.842076913096225,-1,29
-1.451495836264094,-1,30
4.317212033723186,-1,31
-5.75186334918657,-1,32
5.165061023628077,-1,33
8.486752254996063,-1,34
-5.473078237744615,-1,35
6.3768103546237285,-1,36
4.851809614524985,-1,37
3.3326482072538255,-1,38
9.748393274663705,-1,39
7.118681109066259,-1,40
4.6811180188417385,-1,41
-4.3831286148766635,-1,42
4.269654004156759,-1,43
-6.572192659919049,-1,44
-6.060918497389245,-1,45
-6.382241009055003,-1,46
-7.949615157116741,-1,47
9.036039778407588,-1,48
1.9351282446823976,-1,49
-6.2903945433163315,-1,50
3.0271953898085364,-1,51
0.572056894802131,-1,52
1.5884097250260858,-1,53
8.402180460029822,-1,54
7.993697430002797,-1,55
1.9604536042344982,-1,56
6.703648385285728,-1,57
-5.316026914920791,-1,58
-8.825602317846496,-1,59
-6.928013903389669,-1,60
-3.8810266698061735,-1,61
1.1379682754798708,-1,62
4.5722229651965876,-1,63
6.9992438691322825,-1,64
-4.40396110262218,-1,65
-1.6103895741325243,-1,66
-1.7570576761799135,-1,67
-0.9792860660086422,-1,68
0.8087491223978649,-1,69
1.7591460321968881,-1,70
0.3426082406272002,-1,71
-6.140188446072948,-1,72
5.348777902052825,-1,73
3.920635674547432,-1,74
-4.284338803104446,-1,75
9.879553386601849,-1,76
-0.2982427839867352,-1,77
-6.665612189650119,-1,78
-1.011825683559632,-1,79
8.33329989829581,-1,80
-1.4783684280819305,-1,81
5.486788777116763,-1,82
-0.266629293006563,-1,83
5.9984577318848515,-1,84
4.656730306955605,-1,85
-8.077859880916831,-1,86
-6.71952363015488,-1,87
0.40030963088883276,-1,88
4.4240276684772475,-1,89
-7.407550045253286,-1,90
2.012133431016201,-1,91
-3.955170156342131,-1,92
-5.918207139508114,-1,93
7.524952056019689,-1,94
0.5746236924084265,-1,95
-9.921598992977964,-1,96
-4.615888337955707,-1,97
9.604049168893642,-1,98
9.648743129101298,-1,99
