Privacy,Public Transportation,Iran,tick,user
0.020425182336062164,4.160916034838259,-7.567131493802217,-1,0
-9.94923575950694,-9.203319212591971,0.3877525364305825,-1,1
6.8286618051311585,7.526165617546653,5.462540698265535,-1,2
2.3366064486604454,-8.173875872778796,-2.7610589481780767,-1,3
-7.471952401541595,0.4434591538227508,6.365410286921204,-1,4
7.821302118762713,3.937378599960521,-2.796318684690138,-1,5
-1.2173557731290163,-6.695603431266342,-1.5110810923754858,-1,6
9.179413695567987,-5.065434197105345,4.694227965389473,-1,7
-8.513954976051812,0.8418938405698526,0.8953370586368443,-1,8
8.688169056528949,0.8793681039753345,6.901615088229374,-1,9
-4.2741012875874596,4.981823428711763,-2.6130791495826937,-1,10
0.527927317158932,-3.9401177776753933,-8.977895024482743,-1,11
-4.156527797559349,-1.2888969952975255,5.472812423193567,-1,12
-6.416709095812219,-4.06659036893209,-9.7396427324954,-1,13
-9.895680689726634,5.184606203973752,4.1548728601941995,-1,14
2.0626775172277014,-7.318930715871637,-3.7376625327670236,-1,15
6.806336323545928,1.7966526368123361,8.617860619135445,-1,16
-3.8595596494206275,1.1456428311826485,6.748442145773343,-1,17
-2.2025469698487,-8.408996190159812,3.7779774668829766,-1,18
-6.083771416809098,8.51510456453066,-3.541526908337338,-1,19
-3.6994801902160805,-7.916264375605708,-4.919732507902632,-1,20
-8.898135774878423,-5.750003960646848,-1.4594756569649583,-1,21
-7.700639278437194,-5.14302705933479,3.983947118217797,-1,22
-9.449896604221095,4.9390906885376005,-2.51688305528144,-1,23
-3.0462678583437715,-3.9154591332870625,8.064489123751642,-1,24
3.410175356174882,9.866774532613597,5.8438592443705915,-1,25
-1.210963081088913,-1.6890434550919924,-9.016036985215594,-1,26
-2.317216357237049,2.808239215031346,5.947946626382084,-1,27
5.661062063007405,1.7674160496278333,-2.635968524928069,-1,28
5.456867711711153,5.020888032492621,-2.8814470370124123,-1,29
5.418284911675821,-1.4868474996972747,6.622048548258054,-1,30
-0.607536845716627,3.5718865962657063,-9.880638957577146,-1,31
8.930032786285004,5.089143432702379,-6.448291072881567,-1,32
-0.7978157422562777,5.8222127645324555,-2.5274928465349245,-1,33
2.7635088700909662,-7.525500322345133,8.705404615009954,-1,34
-2.8564622947795844,1.9550751310855254,8.9998325123887,-1,35
-5.938707217262755,6.16844256903962,2.8958862228910327,-1,36
-6.2785856437257355,2.381532827632533,3.1798814120869405,-1,37
9.485611668983001,-7.7425552915365525,6.7142750343687645,-1,38
7.9303641776321285,9.62038932241316,2.009111112015381,-1,39
2.814277923503603,-0.33158741296628236,4.947513801393386,-1,40
